Precon,ID,atan.XY,degree.XY
f2,b10c10a1,-1.54,-88.04
f2,b10c10a1,-1.52,-86.82
f2,b10c10a1,0.79,45.00
f2,b10c10a1,0.90,51.34
f2,b10c10a1,1.37,78.35
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c10a1,n/a,n/a
f2,b10c4a1,-1.49,-85.60
f2,b10c4a1,0.00,0.00
f2,b10c4a1,0.32,18.43
f2,b10c4a1,0.79,45.01
f2,b10c4a1,1.11,63.43
f2,b10c4a1,1.11,63.43
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a1,n/a,n/a
f2,b10c4a2,-0.79,-45.01
f2,b10c4a2,-0.37,-21.04
f2,b10c4a2,0.00,0.00
f2,b10c4a2,0.27,15.26
f2,b10c4a2,0.45,25.56
f2,b10c4a2,0.46,26.56
f2,b10c4a2,0.92,52.70
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c4a2,n/a,n/a
f2,b10c5a1,-0.86,-49.09
f2,b10c5a1,-0.59,-33.69
f2,b10c5a1,-0.46,-26.56
f2,b10c5a1,-0.38,-21.80
f2,b10c5a1,-0.28,-15.95
f2,b10c5a1,-0.24,-14.04
f2,b10c5a1,0.00,0.00
f2,b10c5a1,0.79,45.00
f2,b10c5a1,1.17,66.80
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c5a1,n/a,n/a
f2,b10c6a1,-0.79,-45.01
f2,b10c6a1,-0.51,-29.05
f2,b10c6a1,-0.49,-28.30
f2,b10c6a1,-0.20,-11.31
f2,b10c6a1,-0.17,-9.46
f2,b10c6a1,-0.06,-3.58
f2,b10c6a1,0.00,0.00
f2,b10c6a1,0.00,0.00
f2,b10c6a1,0.00,0.00
f2,b10c6a1,0.00,0.00
f2,b10c6a1,0.00,0.00
f2,b10c6a1,0.38,21.80
f2,b10c6a1,0.79,45.01
f2,b10c6a1,1.25,71.56
f2,b10c6a1,n/a,n/a
f2,b10c6a1,n/a,n/a
f2,b10c6a1,n/a,n/a
f2,b10c6a1,n/a,n/a
f2,b10c6a1,n/a,n/a
f2,b10c6a1,n/a,n/a
f2,b10c8a1,-1.35,-77.47
f2,b10c8a1,-1.11,-63.44
f2,b10c8a1,-0.79,-44.99
f2,b10c8a1,-0.39,-22.17
f2,b10c8a1,0.00,0.00
f2,b10c8a1,0.00,0.00
f2,b10c8a1,0.09,5.19
f2,b10c8a1,0.10,5.71
f2,b10c8a1,0.21,11.77
f2,b10c8a1,0.21,11.89
f2,b10c8a1,0.56,32.01
f2,b10c8a1,0.59,33.69
f2,b10c8a1,0.60,34.22
f2,b10c8a1,0.79,44.99
f2,b10c8a1,0.79,44.99
f2,b10c8a1,0.79,45.00
f2,b10c8a1,0.79,45.01
f2,b10c8a1,0.79,45.01
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
f2,b10c8a1,n/a,n/a
